iter	RMSE
265	0.72604384
266	0.7251771241
267	0.7243022528
268	0.7234344296
269	0.7225714328
270	0.7217094595
271	0.7208340358
272	0.7199609304
273	0.7191007737
274	0.7182482289
275	0.7174031038
276	0.7165476636
277	0.7156953354
278	0.7148389535
279	0.7140019785
280	0.7131422854
281	0.7122879193
282	0.7114293044
283	0.7105950733
284	0.7097407231
285	0.7088904077
286	0.708057593
287	0.7072063815
288	0.7063580101
289	0.7055509985
290	0.7047366052
291	0.7038970593
292	0.7030617542
293	0.7022084561
294	0.7013755959
295	0.7005373771
296	0.6996936252
297	0.6988524185
298	0.6980153367
299	0.6971721785
300	0.6963379881
301	0.6955001598
302	0.6946777341
303	0.6938338631
304	0.6930218553
305	0.6921909658
306	0.6913690487
307	0.6905472661
308	0.6897180041
309	0.6888993746
310	0.6881001829
311	0.6872755069
312	0.6864511532
313	0.6856321047
314	0.6848303661
315	0.6840182947
316	0.6832583971
317	0.6824542767
318	0.6816510849
319	0.6808199304
320	0.6800193561
321	0.6792106098
322	0.6784073842
323	0.6775876526
324	0.6767812528
325	0.6759841347
326	0.6751939652
327	0.6743927075
328	0.6735709795
329	0.6727655601
330	0.6719733558
331	0.6711774468
332	0.6703800499
333	0.6695768503
334	0.6687922493
335	0.66799321
336	0.6672049515
337	0.6664213257
338	0.6656245517
339	0.6648312279
340	0.6640304298
341	0.6632312348
342	0.6624449277
343	0.6616381867
344	0.6608545867
345	0.6600622103
346	0.6592630831
347	0.6584878471
348	0.6577246152
349	0.6569424723
350	0.6561579075
351	0.6554224179
352	0.6546473395
353	0.6538778367
